"Nji amanet jam tue ta lanë","gegë"
"Si premtue kisht' perendija,prap zojë m' vedi duel Shqypnija","gegë"
"S’mrrijtên të shlyejnë shpirtin at ta asgjasojnë Kombin shqiptàr.","gegë"
"Dy motrat shikuan njëra-tjetrën pa folur.","toskë"
"Si i mban gjunjët dhe si vështron.","toskë"
"Ndoshta më është dukur. Po atje s'është si këtu.","toskë"
"Këtu janë telefonat e të njohurve që kam, sipas emrave.","toskë"
"Një grusht zarfesh e fletësh shkruar në gjuhë të huaja.","toskë"
"A thue shof un kurr me sý,se Shqyptarët do t'bijn m' nji fjalë","gegë"
"Sidoqoftë, kurrë s'pranoj që respekti ndaj letërsisë dhe popullit tim është njështë një
paragjykim.","toskë"
"Stela deshi të ndalte diçka, por kjo diçka ishte bërë dhe ajo s'mund të ndalte","toskë"
"asgjë.","toskë"
"Ajo fliste me ca idera që i thernin si thika të ftohta","toskë"
"pleqtë e shkretë.","toskë"
"Dukej kaq e bukur, kaq krenare dhe njëkohësisht aq e trishtuar.","toskë"
"Stela nguli sytë mbi ato emra të shkruara pa kujdes dhe seç ndjeu në zemër.","toskë"
"Edhè n' lajm qi çpon Alija,Trup në kamë çohet Shqypnija","gegë"
"Lahuta âsht epopeja e nji popullit","gegë"
"kurrkujë n' këto troje t' veta mos me i bà kurr tungjatjeta","gegë"
"Nisë Shqyptarët kanë me u mendue Shqypninë me e skapullue","gegë"
"  një fletë e vogël dhe sa jetë e madhe.","toskë"
"Ishte një ditar në shkruar në gjuhë të huaj.","toskë"
"i shikoi me rradhë, duke ndjerë në shpirt një dhembje të fshehtë.","toskë"
"Ah, ky më telefononte gjithmonë në mesnatë. Më zgjonte nga gjumi.","toskë"
"Të dyja motrat u vështruan prapë sy ndër sy.","toskë"
"Ajo deshi të pyeste pikërisht këtë, por s'mundi as ta mendonte, bile, kaq zhveshur.","toskë"
" në çast iu duk sikur një aparat magjik ia largoi dhe ia veshi me mjegull motrën e saj.","toskë"
"Ti nuk më do më? Fol, ti s'më do më?","toskë"
"Kishte keqardhje, trishtim apo zili në sytë e së motrës?","toskë"
